ra,dec,flux65,flux90,flux140,flux160,qflag65,qflag90,qflag140,qflag160,peak_wl,peak_flux
4.76973,29.92463,4.391,6.692,4.963,0.9513,3,3,3,1,90.0,6.692
5.25822,6.21116,3.406,4.201,3.696,1.035,3,3,3,1,90.0,4.201
5.53809,32.0395,8.815,6.454,2.531,2.249,3,3,3,1,65.0,8.815
6.82088,-51.06677,14.83,12.48,5.427,2.564,3,3,3,1,65.0,14.83
7.11788,-47.75976,3.763,3.571,3.762,2.742,3,3,3,1,65.0,3.763
8.92816,3.39052,5.555,6.35,4.222,2.838,3,3,3,1,90.0,6.35
8.95534,20.17473,28.29,19.52,4.65,2.759,3,3,3,1,65.0,28.29
0.72689,-71.05311,4.91,4.818,4.291,2.862,3,3,3,1,65.0,4.91
4.52426,-34.46159,3.718,2.811,3.658,2.658,3,3,3,1,65.0,3.718
5.25474,-63.28919,2.124,3.67,2.605,0.7823,3,3,3,1,90.0,3.67
5.7723,-6.12115,3.24,5.08,3.836,1.761,3,3,3,1,90.0,5.08
8.43875,-9.17528,,8.364,6.394,0.5191,1,3,3,1,90.0,8.364
9.13718,38.44477,10.87,9.081,2.333,2.882,3,3,3,1,65.0,10.87
9.22621,3.42516,16.55,13.66,5.463,2.747,3,3,3,1,65.0,16.55
0.19981,33.59828,2.59,5.096,3.357,2.878,3,3,3,1,90.0,5.096
1.41724,0.44975,3.624,6.644,5.488,0.9589,1,3,3,1,90.0,6.644
3.39024,3.14003,1.853,3.81,3.356,0.7256,3,3,3,1,90.0,3.81
5.32078,-7.19339,2.147,4.338,3.413,1.099,3,3,3,1,90.0,4.338
7.81887,-19.85073,19.16,14.66,4.406,1.815,3,3,3,1,65.0,19.16
8.92486,-1.87834,2.491,3.192,3.088,2.229,3,3,3,1,90.0,3.192
9.1688,-38.16485,0.1887,7.462,3.738,0.3522,1,3,3,1,90.0,7.462
0.13532,-24.14095,3.595,5.349,4.824,1.132,3,3,3,1,90.0,5.349
1.39473,29.49,5.992,7.555,4.244,2.702,3,3,3,1,90.0,7.555
1.90681,-2.91525,5.514,6.316,3.662,1.029,3,3,3,1,90.0,6.316
3.15848,-20.65876,8.22,7.304,2.901,0.5363,3,3,3,1,65.0,8.22
6.64201,-32.30434,17.27,14.47,5.503,2.819,3,3,3,1,65.0,17.27
7.02391,-25.22842,2.129,5.801,3.068,1.443,3,3,3,1,90.0,5.801
7.2002,-25.77204,0.8519,4.315,2.102,0.836,2,3,3,1,90.0,4.315
