ra,dec,flux65,flux90,flux140,flux160,qflag65,qflag90,qflag140,qflag160,peak_wl,peak_flux
312.43043,39.33448,2.278,3.197,,0.06,1,1,2,0,90.0,3.197
299.74066,29.07791,0.9005,5.447,,0.0428,1,1,2,0,90.0,5.447
1.81307,-12.47126,0.7393,3.322,,0.0976,1,1,2,0,90.0,3.322
278.10912,-5.71937,1.676,10.21,,0.106,1,1,3,1,90.0,10.21
336.18146,63.2045,2.019,4.629,,0.149,1,1,2,0,90.0,4.629
321.56833,53.08132,2.208,5.559,,0.0529,1,1,2,0,90.0,5.559
342.25001,59.02938,2.864,3.102,,0.136,3,1,2,0,90.0,3.102
243.16888,-40.62169,2.91,3.256,,0.199,1,1,2,0,90.0,3.256
242.85832,-32.61928,1.234,3.56,,0.112,1,1,2,0,90.0,3.56
283.22119,-1.72297,2.454,9.827,,0.137,1,1,3,1,90.0,9.827
128.30425,-44.02123,2.658,3.964,,0.0246,3,1,2,0,90.0,3.964
270.11789,-14.16616,1.063,3.817,,0.177,1,1,2,0,90.0,3.817
314.38424,49.41007,2.445,4.188,,0.162,1,1,2,0,90.0,4.188
313.37933,51.76608,1.623,3.279,,0.112,1,1,2,0,90.0,3.279
2.01388,-52.25158,2.892,3.699,,0.0368,1,1,2,0,90.0,3.699
345.29087,58.23919,1.488,4.346,,0.2,1,1,2,0,90.0,4.346
313.59785,-54.01601,0.09827,3.235,,0.0809,1,1,2,0,90.0,3.235
346.83344,59.20392,0.8718,3.559,,0.0637,1,1,2,0,90.0,3.559
309.36514,38.46431,2.095,6.951,,0.63,1,1,3,1,90.0,6.951
313.32374,43.04256,2.18,10.05,,0.251,1,1,3,1,90.0,10.05
2.00734,33.07088,2.887,3.25,,0.0331,1,1,2,0,90.0,3.25
317.65919,47.47514,2.992,6.514,,0.0639,1,1,2,0,90.0,6.514
338.64301,40.93247,2.189,3.063,,0.119,1,1,2,0,90.0,3.063
322.34466,53.18956,2.911,3.408,,0.0524,1,1,2,0,90.0,3.408
314.96363,52.6726,1.774,4.836,,0.0666,1,1,2,0,90.0,4.836
308.56406,45.85869,0.5362,5.713,,0.121,1,1,2,0,90.0,5.713
