ra,dec
162.3298369,-60.0772588
168.9467929,-60.0186586
160.6707125,-60.0172959
163.2546865,-59.9500337
217.8575796,-59.8920158
137.9794314,-59.8526883
162.1310945,-59.8267009
155.8641529,-59.7338509
164.7842399,-59.7224869
223.0623359,-59.7028029
163.769878,-59.6990436
224.7412378,-59.6873725
184.2228214,-59.6781136
161.3850189,-59.6148611
220.3095851,-59.4972723
163.7475213,-59.4816841
160.4485084,-59.3566836
155.5128477,-59.2956015
224.8640595,-59.2690483
160.5157811,-59.2528001
160.5224479,-59.1566599
150.462831,-58.9402368
163.1877313,-58.7568776
158.8150195,-58.754554
151.5205974,-58.6755336
153.8745954,-58.6282607
165.2674624,-62.9165665
173.957104,-62.895466
184.3262871,-62.8835874
221.7988996,-62.8472201
141.0433046,-62.836818
175.7784093,-62.8283552
208.6086815,-62.7756751
175.3720434,-62.7411435
225.1239127,-62.6462389
175.6979501,-62.5793034
198.110064,-62.5780952
182.9463663,-62.5753872
225.7499175,-58.6119402
189.6870254,-58.4944817
159.2308337,-58.4245904
154.2525394,-58.3871208
223.9291662,-58.271779
165.2049562,-58.2559364
24.1565536,-58.2191866
161.037268,-58.1984184
160.2387639,-58.1721703
153.6968033,-58.1702511
262.7167395,-58.1483694
150.9305051,-58.1333858
154.4120761,-58.1246945
155.4593276,-58.0431039
128.8945577,-58.0364181
156.0736872,-58.0341924
155.1526315,-58.0262349
156.5151514,-57.9716773
153.036721,-57.9636562
152.0362355,-57.9564834
131.1386214,-57.9550866
57.124,-57.93471
160.7465139,-57.9043293
224.3130947,-57.879602
150.1957679,-57.7811826
359.9274799,-57.7732021
232.7937718,-57.7359733
155.691804,-57.7053356
156.6363558,-57.6916751
107.8590337,-57.5989212
153.9545929,-57.5515468
153.5206613,-57.5323246
152.2129874,-57.5205761
155.9447709,-57.5087662
114.2837626,-57.5036437
154.3493123,-57.4557829
152.1431461,-57.3871158
160.762501,-57.3239837
166.7858348,-57.1097841
151.2230034,-56.8945844
230.3500529,-56.8869726
248.4187933,-56.7772374
101.3241948,-56.6144768
227.491641,-56.5521429
154.4308487,-56.5167058
156.5381142,-56.4069211
188.2011797,-56.0296185
159.521123,-56.0048866
236.2884178,-55.6200636
148.2195479,-55.6180171
292.3852921,-55.5629134
235.7220803,-55.4095342
234.9620635,-55.3423672
234.9688036,-55.236898
56.6340436,-55.0191022
154.714485,-58.5687149
156.3897152,-58.554114
155.8960056,-58.3582757
165.1408046,-58.3410905
158.4590836,-58.1565953
152.8570028,-58.1402185
159.1540114,-58.0864847
153.7566733,-58.0796286
153.293166,-58.0282952
153.7892114,-58.0199751
230.1434543,-57.974093
228.0171126,-57.9475506
151.8284502,-57.9207565
156.6282297,-57.8588309
73.0286242,-57.7979768
158.7746796,-57.7423654
159.7008601,-57.5691782
151.3260002,-57.5300799
156.2788143,-57.5084784
152.3532475,-57.4441754
157.5305765,-57.4166575
73.8154353,-57.3454316
159.4637076,-57.3330722
156.9879122,-57.2491997
152.8423049,-57.2265681
151.9496547,-57.1729277
160.1342119,-57.1577475
175.6943835,-57.0605417
159.6667174,-57.0259062
170.3765519,-56.8927791
52.9035473,-56.6980777
248.2565035,-56.5521548
244.9820821,-56.3337849
107.6013066,-56.3269066
157.2971321,-56.3017685
234.3833689,-56.2973377
157.3383103,-56.2569261
192.2939043,-55.8301918
237.2175875,-55.4345186
158.2743876,-55.3468866
232.4015331,-55.1260517
237.0080645,-54.8018192
225.79243,-58.6109
214.0933424,-58.6105285
152.687364,-58.601661
155.5147381,-58.5096829
152.5621072,-58.5087131
159.5677284,-58.4687509
160.2136343,-58.4329262
158.8639155,-58.4226633
160.799959,-58.4089211
165.2753532,-58.3036703
156.9395501,-58.2841209
156.8089827,-58.2791065
156.6449428,-58.1129919
150.9060747,-58.0986499
157.830657,-58.098582
163.6185813,-58.095466
217.6309007,-58.082712
158.9453033,-58.0633709
153.5277759,-58.0498097
153.3116201,-58.0185585
151.8931215,-58.0093992
232.338659,-57.9370493
225.6876257,-57.9014129
290.9037592,-57.8931315
158.2198402,-57.8297036
193.6735017,-57.7954148
160.3510866,-57.7590272
154.2838022,-57.732848
158.4368248,-57.6723303
159.584206,-57.6315092
188.6874308,-57.586054
152.1120766,-57.5543296
228.6492238,-57.4405365
